"user_id","num_clicks","num_sessions","avg_session_duration","age","gender","married","has_children","home_country","home_city","home_airport","user_id","num_trip","num_flights","money_spent_hotel","time_after_booking","total_km_flown","avg_bags"
"23557","82","8","76.6250000000000000","65","F","true","false","usa","new york","LGA","23557","2","0","3670.50","","",""
"94883","73","8","67.7500000000000000","52","F","true","false","usa","kansas city","MCI","94883","2","4","130","6.5000000000000000","2902.670807403888","0.50000000000000000000"
"101486","131","8","122.2500000000000000","51","F","true","true","usa","tacoma","TCM","101486","2","2","2199","9.0000000000000000","995.681599782712","0.00000000000000000000"
"101961","126","8","117.7500000000000000","43","F","true","false","usa","boston","BOS","101961","5","10","2429","5.6000000000000000","6832.845483274227","0.40000000000000000000"
"106907","240","8","758.9150661250000000","45","F","true","true","usa","miami","TNT","","","","","","",""
"118043","164","8","153.1250000000000000","52","F","false","true","usa","los angeles","LAX","118043","5","6","5616.45","8.6666666666666667","7515.495499221523","1.00000000000000000000"
"120851","55","8","51.7500000000000000","51","F","true","true","usa","santa ana","SNA","120851","1","2","2002","7.0000000000000000","2259.7966681958487","0.00000000000000000000"
"125845","159","9","131.7777777777777778","40","F","true","false","usa","el paso","BIF","125845","3","6","689","8.3333333333333333","8584.557386162262","0.66666666666666666667"
"133058","73","8","68.1250000000000000","19","F","false","false","usa","austin","AUS","133058","1","2","0","6.0000000000000000","2887.178515652686","0.00000000000000000000"
"149058","142","8","131.7500000000000000","51","F","false","true","usa","birmingham","BHM","149058","5","10","5373","5.8000000000000000","9799.360157894496","0.40000000000000000000"
"152583","149","8","139.0000000000000000","37","F","false","false","usa","colorado springs","COS","152583","1","2","426","8.0000000000000000","2265.716295635522","2.0000000000000000"
"153982","150","8","138.5000000000000000","45","F","false","true","canada","toronto","YKZ","153982","3","6","681","8.6666666666666667","4030.875580687489","0.33333333333333333333"
"160754","86","8","80.8750000000000000","46","F","true","true","usa","new york","LGA","160754","1","2","428","11.0000000000000000","527.63183389388","1.00000000000000000000"
